staker,lp,stt,ste,faction
terra17vx0qyawkscvuu2zsdwj6w9ghwjej9dehztxx0,2.005733,250,252.50716625,degens
terra17v9wrxxtu6xqmp7npzep3yvn9eapwu0f2t45kk,0.392365,0,0.49045625000000004,degens
terra17v9vapwsk88q8zgwcxdy8jv3gk726tgrrn293e,49.952233,0,62.44029125,degens
terra17vzemvdnzgd3kh62gj43yeuewgtuftl82f5vv6,0.400091,0.196159,0.6962727499999999,degens
terra17t6jqf76r4f297y390zegx2980wgnxd7545h24,2.189316,0,2.7366449999999998,degens
terra17tcytnq2afgu390efwwgr2e4y72keyd3cy3n86,83.113829,20,123.89228625,degens
terra17tncrvwgh49zju8uxcnuwz3up43x0lyh43h8r0,1708.502274,82.96932,2218.5971625,degens
terra17tvq94x3v4tkx6yfp2zfsu9akalpusqs2670pk,1.104475,0.50003,1.88062375,degens
terra17tfzgdmw65m23q7f62a384n8puasq8ew6w8z4u,8611.25268,0,10764.065849999999,degens
terra17tx52ld5whdrnasxujp4h5e0ngz7drzh3ytfpr,87.057916,0,108.822395,degens
terra17fcqxgggdqg35t5um46qdwvmy3eqt9nq860e5g,200,500,750,degens
terra17f5gv43qutuawtsnm26lqe5upzqzcqcmvjgra8,138.601445,210.548714,383.80052025,degens
terra17gj30pz22n0cwjc7ktnfg5fytc8zu4szleguwh,3.489586,20,24.3619825,degens
terra17g3mndkfq74z4xkdj7xx47ngnrfhlke99jaj8l,0.201538,0.09,0.3419225,degens
terra17g99km4sqhjetyw6yyuan8amrusha2zewt2r3e,122.169691,0,152.71211375000001,degens
terra178alz90a0k2g8xvfv4jc5k5yf6wxxe3ag994qw,5.356045,0,6.69505625,degens
terra178uwarj25tdfplpa66xl7kx080kk4yhwkjjnvp,8.809298,20.344126,31.355748499999997,degens
terra1785jfvu2jl8gmdz0kgnlxc95atz4hk8r6epefe,83.532709,0,104.41588625,degens
terra17xzdwvv83kzjppju7c5qrafjzz8k5jxca3txr5,156.525141,10.038162,205.69458824999998,degens
terra17xzxx3qejvfx7vm94qdd604ntx2pzfa7cumlxq,9.507685,1.364891,13.249497250000001,degens
terra179cek53vy2p7u9h6ywh7nlay9gs46czxz9unaq,0.200789,0.01,0.26098625,degens
terra179fjv3jfy0funtdl9he9tktkhs9uqqh76a7vl0,241.135875,117.587337,419.00718075,degens
terra17ymqa6httgkjdh9qq3llmdhrtgsmd3ykwd3mgu,0.445484,2,2.556855,degens
terra17yec9za0xv0a5xlfr5twafvanglt482n0zwarp,107.17761,0,133.9720125,degens
terra17y4ync59n7ygcwrtdgxcmut0h3fn0j27c8ftec,58.264748,27.136955,99.96789,degens
terra17yn7euvy4mel7lt52lm23eqvq29qt5rtcxxasv,0.429263,0.1,0.63657875,degens
terra17ys6czugr6ddll5s8a89uuw3l0dpj378du3jkj,2.848394,1,4.5604925,degens
terra17yrafv2d4eyrgyqldvhjmxpsjmwcqm62928qmq,6.562628,0,8.203285000000001,degens
terra17yq47w2jlv8rkrzqwyqwaqz8k3csmnm2s6r03z,0.411708,0.1,0.614635,degens
terra17rgwx0twq6jegvxu5c2uftsc9dt6kjtjk2gx7t,44.229089,31,86.28636125,degens
terra17rrlcuaya275m3cfxj2peg5adtynwsusruwusa,2129.411953,1,2662.7649412499995,degens
terra17zd7e5gfylx437m4vfq2qu9qt0g36puxmf7h8a,0.222832,0.019687,0.298227,degens
terra17ztydxz6nwmmvp0mh4ntrja2dz39rjkky0rplm,46.541001,503.014558,561.19080925,degens
terra17zg2z9xc8l20tj0x8qp3jh763zfucnaqheh9ps,6.258543,9.289509,17.11268775,degens
terra17zyy8zqej7wu5qgm83d52twfpc0aev5z5k59ah,30.488755,0,38.110943750000004,degens
terra17p4u7w0espts4zxsjenv9q7fx8kekflztg4na6,2.008658,1,3.5108225,degens
terra17p339c8rgmmxt3ycmrpgs5vd8gxe4swekss0zw,317.971993,0,397.46499125,degens
terra17pdvclcglxssyrv0autldf4k3lyvf4umftfrrd,1,2.987347,4.237347,degens
terra17quzv4jzakh0rulsxz00n8s7000gap4acr3cr2,55.672213,0,69.59026625,degens
terra17qcq0gfhlrr95lrlyr4ummqm6mgavgpr955297,1062.980229,61.396434,1390.12172025,degens
terra17qrynkxjyqw32zmrgjfvc329glwecp0tye9dee,31.54604,12.245314,51.677864,degens
terra1alrzmsxsewrzf9dar66klpmp50096fttj6ny2k,66.158788,13.221523,95.92000800000001,degens
terra1alzcg7emd8tnuccljxjywqlku95tey3x22hvpl,414.991665,0,518.73958125,degens
terra1a77npmr7jxwmla0kr0ddelgt0yadtrcmzxkt06,2.092253,41.341293,43.95660925,degens
terra1a7geevnymqsz27thtlh22vh99wp5emddaam5lj,405.377669,60.09135,566.81343625,degens
terra1a7xk8ugla7heqwajexrgytd74yqn225ze9wdf5,11.023474,25.203854,38.9831965,degens
terra1aawffy3fj2dr6yjgeedtvkqwnvruye7ln3mq8m,0.414968,0.25,0.76871,degens
terra1aaprn9deunqh4gyj0wfwaexgpw3jq3fkll7nfd,0.413293,1.428136,1.94475225,MANY_FACTIONS
terra1au6vcr4nq9436hn50uc24fjhvyvl29wvtddytq,7206.011561,0,9007.514451250001,degens
terra1aucg8ljem7ffngekw4j75evjvhugwundkwsgyp,0.806076,0.3,1.307595,degens
terra1au9axp4w5en7wf35tdx4fk6vdmecfn7cyrvkun,99.139394,31.941212,155.8654545,degens
terra1am52avg6yx75996z8z2v4wkcz3t8ewuhjl4tqv,2.049278,212.49631,215.0579075,degens
terra1am0rcv285723j37r7dqe7tcq5yhy3cjqe766nh,3.850632,0.149602,4.962892,degens
terra1a6trq0jgdxfpkwflswfjhd9s0tc77efvfsjekk,87.22,0,109.025,degens
